,Level3Name,Level4Name,Classification,ReportLine3,ProductivityCategory,GrossCostClassification,FiscalMonthNumber,Source,Amount
2899,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,1,Actuals,5523.511111
2900,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,2,Actuals,5016.512099
2901,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,3,Actuals,5144.838519
2902,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,4,Actuals,5114.760988
2903,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,5,Actuals,4834.73037
2904,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,6,Actuals,4560.521481
2905,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,7,Actuals,4090.977284
2906,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,8,Actuals,4147.101235
2907,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,9,Actuals,4017.599012
2908,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,10,Actuals,4118.419259
2909,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,11,Actuals,4118.419259
2910,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,12,Actuals,4118.419259
2911,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,1,Actuals,0.849382716
2912,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,2,Actuals,19.35012346
2913,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,3,Actuals,1.048888889
2914,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,9,Actuals,2.740740741
2915,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,10,Actuals,4.198518519
2916,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,11,Actuals,4.198518519
2917,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,12,Actuals,4.198518519
2918,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,1,Actuals,2.15654321
2919,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,2,Actuals,16.87259259
2920,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,3,Actuals,6.116049383
2921,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,4,Actuals,4.224197531
2922,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,5,Actuals,8.136296296
2923,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,6,Actuals,5.531358025
2924,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,7,Actuals,0.226666667
2925,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,8,Actuals,3.825679012
2926,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,9,Actuals,6.517037037
2927,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,10,Actuals,-4.938765432
2928,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,11,Actuals,-4.938765432
2929,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,12,Actuals,-4.938765432
2930,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,1,Actuals,1633.836543
2931,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,2,Actuals,1533.963457
2932,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,3,Actuals,1781.245432
2933,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,4,Actuals,1994.992593
2934,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,5,Actuals,1980.892346
2935,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,6,Actuals,1916.484938
2936,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,7,Actuals,2051.199012
2937,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,8,Actuals,2046.94963
2938,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,9,Actuals,2004.060247
2939,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,10,Actuals,2603.978272
