,Level3Name,Level4Name,Classification,ReportLine3,ProductivityCategory,GrossCostClassification,FiscalMonthNumber,Amount,Source
2122,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,1,10176.13444,Actuals
2123,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,2,9242.074563,Actuals
2124,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,3,9478.494272,Actuals
2125,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,4,9423.081511,Actuals
2126,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,5,8907.172489,Actuals
2127,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,6,8401.989017,Actuals
2128,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,7,7536.933299,Actuals
2129,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,8,7640.332178,Actuals
2130,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,9,7401.746252,Actuals
2131,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,10,7587.490494,Actuals
2132,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,11,7746.394933,Actuals
2133,CIO,CIO,Cost Effective,Capital Charge,Ops,Gross Cost,12,7264.085477,Actuals
2134,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,1,1.564843907,Actuals
2135,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,2,35.6493277,Actuals
2136,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,3,1.932400267,Actuals
2137,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,9,5.049350978,Actuals
2138,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,10,7.735059822,Actuals
2139,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,11,19.95812837,Actuals
2140,CIO,CIO,Cost Effective,Client Entertainment,Ops,Gross Cost,12,-0.33389402,Actuals
2141,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,1,3.973065896,Actuals
2142,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,2,31.08489638,Actuals
2143,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,3,11.26778593,Actuals
2144,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,4,7.782369057,Actuals
2145,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,5,14.98974896,Actuals
2146,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,6,10.19059105,Actuals
2147,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,7,0.417594973,Actuals
2148,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,8,7.048166133,Actuals
2149,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,9,12.00653781,Actuals
2150,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,10,-9.098839486,Actuals
2151,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,11,15.39187745,Actuals
2152,CIO,CIO,Cost Effective,Client Entertainment,MD&I,Gross Cost,12,5.596136553,Actuals
2153,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,1,3010.067324,Actuals
2154,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,2,2826.068065,Actuals
2155,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,3,3281.643255,Actuals
2156,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,4,3675.436225,Actuals
2157,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,5,3649.458906,Actuals
2158,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,6,3530.799158,Actuals
2159,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,7,3778.98704,Actuals
2160,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,8,3771.158272,Actuals
2161,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,9,3692.141843,Actuals
2162,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,10,4797.389275,Actuals
2163,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,11,4202.608482,Actuals
2164,CIO,CIO,Cost Effective,Deployed Payroll,Ops,Gross Cost,12,3827.202429,Actuals
2165,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,1,51225.87585,Actuals
2166,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,2,48989.98775,Actuals
2167,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,3,50052.90617,Actuals
2168,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,4,48650.55491,Actuals
2169,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,5,50296.4441,Actuals
2170,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,6,47990.39549,Actuals
2171,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,7,44915.96759,Actuals
2172,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,8,44749.92127,Actuals
2173,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,9,45497.14152,Actuals
2174,CIO,CIO,Cost Effective,Depreciation,Ops,Gross Cost,10,42923.72933,Actuals
