,Level3Name,Level4Name,Classification,EmployeeLevelName,FiscalMonthNumber,Source,Amount
1097,FINANCE,Team1,Cost Effective,Analyst,1,Actuals,75.23809524
1098,FINANCE,Team1,Cost Effective,Analyst,1,Forecast,84.80952381
1099,FINANCE,Team1,Cost Effective,Analyst,2,Actuals,75.80952381
1100,FINANCE,Team1,Cost Effective,Analyst,2,Forecast,85.76190476
1101,FINANCE,Team1,Cost Effective,Analyst,3,Actuals,77.04761905
1102,FINANCE,Team1,Cost Effective,Analyst,3,Forecast,85.95238095
1103,FINANCE,Team1,Cost Effective,Analyst,4,Actuals,77.76190476
1104,FINANCE,Team1,Cost Effective,Analyst,4,Forecast,85.95238095
1105,FINANCE,Team1,Cost Effective,Analyst,5,Actuals,77.76190476
1106,FINANCE,Team1,Cost Effective,Analyst,5,Forecast,85.95238095
1107,FINANCE,Team1,Cost Effective,Analyst,6,Actuals,78.52380952
1108,FINANCE,Team1,Cost Effective,Analyst,6,Forecast,86.14285714
1109,FINANCE,Team1,Cost Effective,Analyst,7,Actuals,79.66666667
1110,FINANCE,Team1,Cost Effective,Analyst,7,Forecast,85.76190476
1111,FINANCE,Team1,Cost Effective,Analyst,8,Actuals,80.23809524
1112,FINANCE,Team1,Cost Effective,Analyst,8,Forecast,85.95238095
1113,FINANCE,Team1,Cost Effective,Analyst,9,Actuals,79.66666667
1114,FINANCE,Team1,Cost Effective,Analyst,9,Forecast,85.76190476
1115,FINANCE,Team1,Cost Effective,Analyst,10,Actuals,80.80952381
1116,FINANCE,Team1,Cost Effective,Analyst,10,Forecast,85.38095238
1117,FINANCE,Team1,Cost Effective,Analyst,11,Actuals,82.9047619
1118,FINANCE,Team1,Cost Effective,Analyst,11,Forecast,86.14285714
1119,FINANCE,Team1,Cost Effective,Analyst,12,Actuals,83.66666667
1120,FINANCE,Team1,Cost Effective,Analyst,12,Forecast,86.9047619
1145,FINANCE,Team1,Cost Effective,Associate,1,Actuals,13.71428571
1146,FINANCE,Team1,Cost Effective,Associate,1,Forecast,14.28571429
1147,FINANCE,Team1,Cost Effective,Associate,2,Actuals,13.9047619
1148,FINANCE,Team1,Cost Effective,Associate,2,Forecast,14.28571429
1149,FINANCE,Team1,Cost Effective,Associate,3,Actuals,15.04761905
1150,FINANCE,Team1,Cost Effective,Associate,3,Forecast,14.47619048
1151,FINANCE,Team1,Cost Effective,Associate,4,Actuals,13.9047619
