,Level3Name,Level4Name,Classification,EmployeeLevelName,FiscalMonthNumber,Amount,Source
4,CIO,,High Cost,Analyst,1,6.285714286,Actuals
5,FINANCE,Team1,Cost Effective,Analyst,1,102.3571429,Actuals
6,FINANCE,Team1,High Cost,Analyst,1,11.74285714,Actuals
7,FINANCE,Team1,Cost Effective,Analyst,1,24.38095238,Actuals
8,FINANCE,Team1,High Cost,Analyst,1,1.523809524,Actuals
9,FINANCE,Team1,Cost Effective,Analyst,1,1.714285714,Actuals
10,FINANCE,Team1,High Cost,Analyst,1,0.19047619,Actuals
11,FINANCE,Team2,Cost Effective,Analyst,1,5.523809524,Actuals
12,FINANCE,Team2,Cost Effective,Analyst,1,34.61904762,Actuals
13,FINANCE,Team2,High Cost,Analyst,1,5.096,Actuals
14,FINANCE,Team2,Cost Effective,Analyst,1,3.047619048,Actuals
15,FINANCE,Team2,High Cost,Analyst,1,3.238095238,Actuals
24,Human Resources,Team1,Cost Effective,Analyst,1,0.19047619,Actuals
25,Human Resources,Team1,High Cost,Analyst,1,0.380952381,Actuals
26,Human Resources,Team1,Cost Effective,Analyst,1,3.047619048,Actuals
27,Human Resources,Team1,High Cost,Analyst,1,1.714285714,Actuals
28,Human Resources,Team2,Cost Effective,Analyst,1,101.8095238,Actuals
29,Human Resources,Team2,High Cost,Analyst,1,64.73485714,Actuals
32,Legal,Team1,Cost Effective,Analyst,1,0.380952381,Actuals
33,Legal,Team1,High Cost,Analyst,1,0.380952381,Actuals
34,Legal,Team1,Cost Effective,Analyst,1,1.523809524,Actuals
35,Legal,Team1,High Cost,Analyst,1,0.19047619,Actuals
36,Legal,Team2,Cost Effective,Analyst,1,54.95238095,Actuals
37,Legal,Team2,High Cost,Analyst,1,0.761904762,Actuals
38,Legal,Team2,Cost Effective,Analyst,1,1.714285714,Actuals
39,Legal,Team2,High Cost,Analyst,1,11.2952381,Actuals
85,CIO,,High Cost,Associate,1,2.666666667,Actuals
86,FINANCE,Team1,Cost Effective,Associate,1,16.19047619,Actuals
87,FINANCE,Team1,High Cost,Associate,1,0.559619048,Actuals
88,FINANCE,Team1,Cost Effective,Associate,1,2.857142857,Actuals
89,FINANCE,Team2,Cost Effective,Associate,1,32.35238095,Actuals
90,FINANCE,Team2,High Cost,Associate,1,2.59047619,Actuals
91,FINANCE,Team2,Cost Effective,Associate,1,0.761904762,Actuals
95,Human Resources,Team2,Cost Effective,Associate,1,33.9047619,Actuals
96,Human Resources,Team2,High Cost,Associate,1,9.680952381,Actuals
98,Legal,Team2,Cost Effective,Associate,1,1.333333333,Actuals
99,Legal,Team2,Cost Effective,Associate,1,14.0952381,Actuals
100,Legal,Team2,High Cost,Associate,1,0.761904762,Actuals
117,CIO,,High Cost,Senior Manager,1,2.057142857,Actuals
120,FINANCE,Team1,Cost Effective,Senior Manager,1,0.380952381,Actuals
121,FINANCE,Team1,High Cost,Senior Manager,1,0.571428571,Actuals
122,FINANCE,Team1,Cost Effective,Senior Manager,1,1.333333333,Actuals
123,FINANCE,Team1,High Cost,Senior Manager,1,1.523809524,Actuals
124,FINANCE,Team1,High Cost,Senior Manager,1,0.19047619,Actuals
125,FINANCE,Team2,Cost Effective,Senior Manager,1,0.380952381,Actuals
